Id,listing_id,listing_date,is_renovated,amenity_score,OverallQual,OverallCond,GrLivArea,TotalBsmtSF,LotArea,property_age,years_since_remodel,total_baths,GarageCars,Fireplaces,dist_school_km,dist_hospital_km,dist_transit_km,renovation_cost_usd,local_interest_rate_pct,listing_month,Neighborhood,BldgType,HouseStyle,ExterQual,KitchenQual,CentralAir,sale_price,is_monitoring_stream
1294,L-001294,2006-03-20,0,0.7383237655539694,7,5,1664,832,10140,30,30,2.5,2,1,1.05,3.38,1.2,0.0,6.33,3,NWAmes,1Fam,2Story,TA,TA,Y,159100,0
1084,L-001084,2006-03-21,0,0.549058450265208,6,6,1251,1251,8800,42,42,2.0,1,2,2.39,5.05,0.75,0.0,6.33,3,NAmes,1Fam,1Story,TA,TA,Y,161800,0
417,L-000417,2006-03-22,0,0.49940164641712176,6,7,1400,672,7844,28,28,1.5,2,1,2.45,4.31,1.6,0.0,6.33,3,Sawyer,1Fam,2Story,TA,TA,Y,148800,0
1338,L-001338,2006-03-22,1,0.4398268398268398,4,4,693,693,4118,65,56,1.0,0,0,2.75,5.6,2.08,20300.0,6.33,3,OldTown,1Fam,1Story,TA,Fa,N,51800,0
198,L-000198,2006-03-22,1,0.6049304745002105,8,4,3112,1360,25419,88,16,3.5,2,1,2.12,4.66,0.53,161300.0,6.33,3,NAmes,1Fam,2Story,Gd,Gd,Y,221400,0
599,L-000599,2006-03-23,0,0.6388471708717003,5,6,1647,1430,12984,29,29,3.0,2,1,1.59,2.98,1.36,0.0,6.33,3,Crawfor,1Fam,1Story,TA,Gd,Y,214900,0
160,L-000160,2006-03-23,1,0.5891299875069853,7,5,2462,1392,19378,1,0,3.5,2,1,1.45,5.48,1.89,71600.0,6.33,3,Gilbert,1Fam,2Story,Gd,Gd,Y,331400,0
947,L-000947,2006-03-23,0,0.5922695381943031,5,6,1144,1144,8163,47,47,2.0,1,1,1.9,6.26,0.68,0.0,6.33,3,NAmes,1Fam,SLvl,TA,TA,Y,142500,0
1266,L-001266,2006-03-24,0,0.888848082597093,7,5,1452,691,3735,7,7,3.5,2,0,0.67,2.1,1.33,0.0,6.33,3,Somerst,TwnhsE,2Story,Gd,Gd,Y,184000,0
1247,L-001247,2006-03-24,1,0.8695817688851165,7,5,1553,756,8125,1,0,2.5,2,0,0.67,2.1,1.74,26400.0,6.33,3,Somerst,1Fam,2Story,Gd,Gd,Y,184400,0
82,L-000082,2006-03-25,0,0.6021923647815237,6,5,1337,1237,4500,8,8,3.0,2,0,2.06,3.56,0.81,0.0,6.33,3,Mitchel,TwnhsE,1Story,TA,TA,Y,157200,0
970,L-000970,2006-03-27,0,0.6069557613349247,6,5,1095,588,10382,48,48,2.0,1,0,2.03,5.39,0.51,0.0,6.33,3,NAmes,2fmCon,SLvl,TA,TA,Y,139400,0
1180,L-001180,2006-04-01,0,0.4098988612445853,5,5,1124,0,8335,52,52,1.0,0,1,3.79,6.13,1.29,0.0,6.36,4,Edwards,1Fam,1Story,TA,TA,Y,92900,0
1304,L-001304,2006-04-05,0,0.837808300103382,7,5,1616,1616,8688,1,1,2.0,3,0,0.85,2.05,1.25,0.0,6.36,4,Somerst,1Fam,1Story,Gd,Gd,Y,235200,0
328,L-000328,2006-04-05,0,0.6196283827128615,6,5,1383,1383,11600,46,46,1.5,1,0,1.69,5.54,0.75,0.0,6.36,4,NAmes,1Fam,1Story,TA,TA,Y,145700,0
1089,L-001089,2006-04-05,0,0.46949380768410914,7,5,1709,970,2522,2,2,2.0,2,0,2.39,6.69,1.74,0.0,6.36,4,Edwards,Twnhs,2Story,Gd,Gd,Y,135000,0
693,L-000693,2006-04-07,1,0.7958427144700897,7,5,2519,1210,26178,17,16,3.5,2,2,0.84,1.95,2.62,91300.0,6.36,4,Timber,1Fam,2Story,Gd,Gd,Y,338100,0
150,L-000150,2006-04-07,1,0.5911809709278063,5,4,1344,896,6240,70,56,1.0,1,0,2.16,6.7,0.43,35000.0,6.36,4,BrkSide,1Fam,1.5Fin,TA,TA,Y,117900,0
146,L-000146,2006-04-08,1,0.4056744999718227,6,5,1709,970,2522,2,0,2.0,2,0,3.59,5.32,1.76,58300.0,6.36,4,Edwards,Twnhs,2Story,Gd,Gd,Y,130900,0
1181,L-001181,2006-04-08,1,0.792759126288974,7,5,2514,1216,11170,16,15,2.5,2,0,0.81,2.36,2.28,81400.0,6.36,4,Timber,1Fam,2Story,TA,TA,Y,247000,0
221,L-000221,2006-04-09,0,0.5567082209520667,7,5,1498,1498,8990,0,0,2.0,2,0,2.18,2.31,2.29,0.0,6.36,4,CollgCr,1Fam,1Story,Gd,Gd,Y,205700,0
1295,L-001295,2006-04-12,1,0.5006904767923955,5,7,864,864,8172,51,16,2.0,2,0,2.41,5.4,1.32,21200.0,6.36,4,Edwards,1Fam,1Story,TA,TA,Y,112700,0
1090,L-001090,2006-04-12,0,0.8100431109114105,8,5,1247,1247,3316,1,1,2.5,2,1,0.89,1.93,1.72,0.0,6.36,4,Somerst,TwnhsE,1Story,Gd,Gd,Y,193100,0
772,L-000772,2006-04-12,0,0.4174638629782562,4,5,1220,836,8877,55,55,1.0,2,0,3.41,6.55,1.41,0.0,6.36,4,Edwards,1Fam,1Story,TA,TA,Y,104100,0
1020,L-001020,2006-04-13,0,0.6402803377689864,7,5,1506,1362,3013,1,1,2.0,2,1,1.56,3.98,1.01,0.0,6.36,4,Blmngtn,TwnhsE,1Story,Gd,Gd,Y,216500,0
247,L-000247,2006-04-13,1,0.405399222145962,6,8,1928,1020,9142,96,56,2.0,1,0,3.25,6.99,1.79,68700.0,6.36,4,OldTown,2fmCon,2Story,TA,Fa,N,141000,0
243,L-000243,2006-04-14,1,0.4271501355897368,5,4,1440,540,5000,106,56,1.0,1,0,2.99,8.08,1.47,35600.0,6.36,4,OldTown,1Fam,1.5Fin,TA,TA,N,80500,0
526,L-000526,2006-04-17,0,0.8454148721135372,7,5,1266,1257,7500,1,1,2.0,2,1,0.75,2.54,1.26,0.0,6.36,4,Somerst,1Fam,1Story,Gd,Gd,Y,175100,0
1305,L-001305,2006-04-18,0,0.3894446441792229,7,5,1708,976,3363,2,2,2.0,2,0,3.33,7.06,2.11,0.0,6.36,4,Edwards,TwnhsE,2Story,Gd,Gd,Y,129600,0
897,L-000897,2006-04-19,1,0.3390710278300062,4,6,951,951,8765,70,56,1.0,1,0,3.98,7.71,2.71,16000.0,6.36,4,IDOTRR,1Fam,1Story,TA,TA,N,107800,0
1365,L-001365,2006-04-20,0,0.7999339931800337,7,5,1200,600,3180,1,1,2.5,2,0,0.86,2.99,1.19,0.0,6.36,4,Somerst,TwnhsE,2Story,Gd,Gd,Y,138700,0
350,L-000350,2006-04-21,1,1.2831905897370708,9,5,2728,1848,20431,1,0,3.5,3,2,0.22,0.39,1.89,94000.0,6.36,4,NridgHt,1Fam,2Story,Ex,Ex,Y,436000,0
86,L-000086,2006-04-22,1,0.9874867731798244,8,5,2417,1288,16059,15,14,2.5,2,1,0.55,1.23,1.54,62000.0,6.36,4,NoRidge,1Fam,2Story,Gd,Gd,Y,256000,0
1077,L-001077,2006-04-24,1,0.37981476551443905,5,8,1466,796,10800,70,17,2.5,2,1,3.6,6.25,2.21,50900.0,6.36,4,OldTown,1Fam,1.5Fin,TA,Gd,Y,174600,0
562,L-000562,2006-04-24,1,0.608701531170721,5,5,1389,1389,10010,32,31,2.0,2,1,2.05,2.8,1.01,38800.0,6.36,4,Mitchel,1Fam,1Story,TA,TA,Y,172600,0
976,L-000976,2006-04-25,0,0.8288921543843082,7,5,1382,673,2651,6,6,3.5,2,0,0.81,2.28,1.42,0.0,6.36,4,Somerst,Twnhs,2Story,Gd,Gd,Y,162100,0
394,L-000394,2006-04-26,1,0.6656673039897762,4,5,788,788,7446,65,56,1.0,0,2,1.68,5.39,0.4,25500.0,6.36,4,BrkSide,1Fam,1Story,TA,TA,Y,98300,0
1220,L-001220,2006-04-26,0,0.4316745840813513,6,5,1218,672,1680,35,35,1.5,0,0,2.76,7.65,1.78,0.0,6.36,4,BrDale,Twnhs,2Story,TA,TA,Y,90700,0
765,L-000765,2006-04-27,1,1.1080854721924611,8,5,1494,1494,9549,11,10,2.5,2,1,0.22,1.73,1.85,36600.0,6.36,4,Veenker,TwnhsE,1Story,Gd,Ex,Y,266800,0
493,L-000493,2006-05-01,0,0.5782730521152336,6,5,1456,728,15578,0,0,2.5,2,0,1.39,6.34,2.27,0.0,6.27,5,Gilbert,1Fam,2Story,Gd,TA,Y,174600,0
852,L-000852,2006-05-02,0,0.6261443069813694,8,5,1456,1273,3196,3,3,2.0,2,1,1.61,5.55,0.8,0.0,6.27,5,Blmngtn,TwnhsE,1Story,Gd,Gd,Y,211000,0
714,L-000714,2006-05-02,0,0.5759222264692518,4,5,960,960,9873,36,36,2.0,2,0,2.13,7.86,0.5,0.0,6.27,5,BrkSide,2fmCon,1Story,TA,TA,N,135500,0
1215,L-001215,2006-05-03,0,0.5779820950377503,5,5,999,925,10205,44,44,2.0,1,0,2.3,4.57,0.62,0.0,6.27,5,NAmes,1Fam,SFoyer,TA,TA,Y,134700,0
925,L-000925,2006-05-04,0,0.6706385682350204,6,6,1686,1686,10240,26,26,3.0,2,1,1.44,3.82,0.91,0.0,6.27,5,NWAmes,1Fam,1Story,TA,TA,Y,215300,0
578,L-000578,2006-05-04,0,0.49356363857525065,5,6,1320,1164,11777,40,40,2.0,2,2,2.42,5.61,1.39,0.0,6.27,5,Sawyer,1Fam,SLvl,TA,TA,Y,164000,0
216,L-000216,2006-05-05,1,0.6231694834000268,5,6,1236,1070,10011,49,10,1.5,1,1,1.62,6.69,0.7,48000.0,6.27,5,NAmes,1Fam,1Story,TA,Gd,Y,134000,0
131,L-000131,2006-05-05,0,0.5856555704520484,7,6,2157,924,14200,40,40,2.5,2,2,2.43,4.47,0.48,0.0,6.27,5,NAmes,1Fam,2Story,TA,Gd,Y,219400,0
1210,L-001210,2006-05-05,0,0.8923921387993244,8,5,1660,1660,10182,0,0,3.0,2,1,0.67,2.12,1.25,0.0,6.27,5,Somerst,1Fam,1Story,Gd,Gd,Y,289700,0
1208,L-001208,2006-05-06,0,0.5925829963208298,6,5,1700,1682,9135,3,3,3.0,2,0,1.54,3.31,2.62,0.0,6.27,5,CollgCr,1Fam,1Story,Gd,Gd,Y,196200,0
313,L-000313,2006-05-06,1,0.37054217970010805,5,7,1118,793,7800,67,56,2.0,2,1,3.24,10.21,2.33,22100.0,6.27,5,OldTown,2fmCon,1.5Fin,TA,TA,Y,120000,0
701,L-000701,2006-05-07,0,0.7579703059966462,8,5,1800,1800,14331,4,4,3.0,3,1,0.9,2.05,3.43,0.0,6.27,5,Timber,1Fam,1Story,Gd,Gd,Y,326200,0
489,L-000489,2006-05-08,1,0.3916257888882454,5,4,2414,954,10800,106,36,2.0,2,1,3.47,8.14,1.65,96400.0,6.27,5,OldTown,2fmCon,1.5Fin,TA,TA,N,159400,0
1214,L-001214,2006-05-08,1,0.43518179304003646,4,9,960,648,10246,41,5,1.5,1,0,2.9,8.68,1.36,19200.0,6.27,5,Sawyer,1Fam,SLvl,TA,TA,Y,149000,0
387,L-000387,2006-05-10,1,0.3573955130741835,5,3,1184,658,8410,96,10,1.0,0,0,3.94,6.22,2.5,36800.0,6.27,5,Edwards,1Fam,1.5Fin,TA,TA,Y,81200,0
484,L-000484,2006-05-12,0,0.5840088367772015,6,5,1216,1216,4500,8,8,3.0,2,0,2.26,3.16,0.91,0.0,6.27,5,Mitchel,Twnhs,1Story,TA,TA,Y,161800,0
311,L-000311,2006-05-12,1,0.6067391196813054,6,5,1501,697,7685,13,12,2.5,2,1,1.41,3.84,2.39,38200.0,6.27,5,Gilbert,1Fam,2Story,TA,Gd,Y,163900,0
203,L-000203,2006-05-13,1,0.36637770190884816,6,6,1310,617,7000,82,56,2.0,1,0,3.74,7.62,2.08,45800.0,6.27,5,OldTown,1Fam,1.5Fin,TA,TA,Y,114300,0
1453,L-001453,2006-05-16,0,0.3822290330929786,5,5,1072,547,3675,1,1,2.0,2,0,4.11,7.34,1.37,0.0,6.27,5,Edwards,TwnhsE,SLvl,TA,TA,Y,147700,0
45,L-000045,2006-05-18,0,0.5844535266639357,5,6,1150,1150,7945,47,47,2.0,1,0,2.27,4.35,0.62,0.0,6.27,5,NAmes,1Fam,1Story,TA,TA,Y,144800,0
61,L-000061,2006-05-18,0,0.5379230450226284,6,5,1158,1158,13072,2,2,2.5,2,0,2.99,4.56,0.52,0.0,6.27,5,SawyerW,1Fam,1Story,TA,Gd,Y,157300,0
557,L-000557,2006-05-19,0,0.5382453446636531,5,5,1092,1092,14850,49,49,2.0,1,1,2.54,6.88,0.56,0.0,6.27,5,NAmes,1Fam,1Story,TA,TA,Y,143800,0
999,L-000999,2006-05-21,1,0.3662115153579946,3,4,1077,1007,9786,84,56,1.0,1,1,4.14,6.75,1.8,30200.0,6.27,5,IDOTRR,1Fam,1Story,TA,TA,N,88600,0
343,L-000343,2006-05-21,1,0.5817722640673461,3,4,1040,0,8544,57,56,2.0,2,0,1.96,5.25,0.83,26400.0,6.27,5,NAmes,Duplex,1Story,TA,TA,N,88100,0
1232,L-001232,2006-05-22,0,0.6492593126461119,5,6,1190,1106,7728,44,44,2.0,2,0,1.46,6.01,0.75,0.0,6.27,5,NAmes,Duplex,SLvl,TA,TA,Y,131400,0
1030,L-001030,2006-05-22,0,0.42081759779734734,6,7,1218,672,1680,34,34,2.0,1,0,2.85,7.42,1.95,0.0,6.27,5,BrDale,Twnhs,2Story,TA,TA,Y,117500,0
720,L-000720,2006-05-23,0,0.6527793871651113,5,6,971,971,9920,37,37,1.5,1,1,1.17,4.17,2.15,0.0,6.27,5,CollgCr,1Fam,1Story,TA,TA,Y,129300,0
466,L-000466,2006-05-23,0,0.6486899674995081,7,5,1414,1375,3072,2,2,2.0,2,1,1.43,4.64,1.02,0.0,6.27,5,Blmngtn,TwnhsE,1Story,Gd,Gd,Y,178600,0
194,L-000194,2006-05-24,0,0.4385234610367868,7,5,1709,970,2522,2,2,2.0,2,0,3.37,4.01,1.73,0.0,6.27,5,Edwards,Twnhs,2Story,Gd,Gd,Y,127500,0
677,L-000677,2006-05-24,1,0.41529116804841754,4,2,1774,1095,9600,106,56,3.0,3,0,2.66,8.2,2.42,53900.0,6.27,5,OldTown,1Fam,2Story,TA,TA,N,88800,0
780,L-000780,2006-05-24,0,0.659007659007659,6,5,1004,975,10530,29,29,2.0,2,0,1.64,2.64,1.1,0.0,6.27,5,Mitchel,Duplex,SFoyer,TA,TA,Y,136900,0
1435,L-001435,2006-05-24,0,0.6425988508309768,5,5,1126,1126,17400,29,29,3.0,2,1,1.72,4.57,0.62,0.0,6.27,5,Mitchel,1Fam,1Story,TA,TA,Y,157800,0
869,L-000869,2006-05-25,1,0.5923329649076302,5,6,2320,0,14762,58,56,2.0,2,1,1.54,4.74,1.69,60600.0,6.27,5,Gilbert,1Fam,2Story,TA,TA,Y,164700,0
1079,L-001079,2006-05-25,0,0.5743487258112402,6,5,848,848,4435,2,2,2.0,2,1,1.8,3.12,2.13,0.0,6.27,5,CollgCr,TwnhsE,1Story,Gd,Gd,Y,154400,0
339,L-000339,2006-05-27,1,0.6510651979887908,7,7,1621,1208,14145,22,8,3.0,2,0,1.53,4.29,0.86,35200.0,6.27,5,NWAmes,1Fam,1Story,Gd,Gd,Y,203700,0
282,L-000282,2006-05-27,0,1.0088146801039346,6,5,1262,1262,7200,0,0,2.0,2,0,0.42,1.89,1.28,0.0,6.27,5,Somerst,1Fam,1Story,Gd,Gd,Y,187500,0
1147,L-001147,2006-05-27,0,0.5440319613464568,6,5,1298,1298,11200,21,21,3.0,2,1,2.67,5.74,0.52,0.0,6.27,5,SawyerW,1Fam,1Story,Gd,Gd,Y,180400,0
1421,L-001421,2006-05-27,0,0.7197719566881767,6,6,1416,708,11700,38,38,2.5,2,1,1.23,3.0,1.05,0.0,6.27,5,NWAmes,1Fam,2Story,TA,TA,Y,177200,0
153,L-000153,2006-06-01,0,0.6784230382091927,6,5,1993,825,14803,35,35,2.5,2,1,1.19,4.69,1.24,0.0,6.32,6,NWAmes,1Fam,2Story,TA,TA,Y,194100,0
601,L-000601,2006-06-01,0,1.219054483608181,8,5,1904,1058,10927,1,1,3.5,2,1,0.27,0.59,1.56,0.0,6.32,6,NridgHt,1Fam,2Story,Gd,Ex,Y,275300,0
1347,L-001347,2006-06-02,1,0.5754337460313297,7,7,2156,1568,20781,38,3,2.0,2,1,1.85,4.63,1.21,102500.0,6.32,6,NWAmes,1Fam,1Story,TA,TA,Y,251300,0
1069,L-001069,2006-06-02,0,0.40433077880668433,6,4,2521,942,3964,33,33,3.5,2,1,3.56,5.69,1.72,0.0,6.32,6,MeadowV,TwnhsE,2Story,TA,TA,Y,145200,0
185,L-000185,2006-06-03,1,0.6060383785872178,5,8,1252,504,7438,98,15,1.0,2,0,1.84,5.21,0.73,55900.0,6.32,6,BrkSide,1Fam,1.5Fin,TA,TA,Y,125700,0
248,L-000248,2006-06-03,0,0.5379231354408659,6,5,1375,1367,11310,52,52,1.0,2,1,2.76,5.48,0.54,0.0,6.32,6,NAmes,1Fam,1Story,TA,TA,Y,141000,0
809,L-000809,2006-06-04,0,0.5952153543260545,5,5,1086,1024,13400,40,40,2.0,2,1,2.03,4.92,0.66,0.0,6.32,6,NAmes,1Fam,SLvl,TA,TA,Y,155000,0
246,L-000246,2006-06-06,0,0.6773816364316267,7,5,1872,1845,10400,18,18,2.5,2,1,1.27,3.83,1.25,0.0,6.32,6,NWAmes,1Fam,1Story,TA,TA,Y,252100,0
1340,L-001340,2006-06-06,0,0.617061667329489,5,7,864,864,9560,34,34,1.0,1,0,1.56,2.76,2.21,0.0,6.32,6,CollgCr,1Fam,1Story,TA,TA,Y,127900,0
287,L-000287,2006-06-07,1,0.6751664725086651,6,7,1734,912,9786,44,25,1.5,2,1,1.58,4.39,0.54,40800.0,6.32,6,NAmes,1Fam,1.5Fin,TA,Gd,Y,160800,0
449,L-000449,2006-06-08,1,0.42361513028964315,6,6,1376,780,8600,69,56,2.0,1,1,2.91,5.3,2.39,40900.0,6.32,6,IDOTRR,1Fam,1.5Fin,TA,TA,Y,124000,0
991,L-000991,2006-06-08,1,0.9575433074011704,8,5,2392,1396,9452,9,8,3.5,3,1,0.69,1.03,1.51,151800.0,6.32,6,NoRidge,1Fam,2Story,Gd,Gd,Y,351400,0
738,L-000738,2006-06-09,0,0.5123791124757076,8,5,1801,893,10463,1,1,2.5,3,1,2.03,4.74,2.15,0.0,6.32,6,Gilbert,1Fam,2Story,Gd,Gd,Y,236100,0
267,L-000267,2006-06-09,0,0.6366010532677199,6,5,1511,802,11207,9,9,3.5,2,1,1.2,5.48,1.86,0.0,6.32,6,Gilbert,1Fam,2Story,TA,TA,Y,178800,0
1288,L-001288,2006-06-09,0,1.1451338312060493,5,5,1582,1624,36500,42,42,2.5,2,0,0.54,1.07,0.18,0.0,6.32,6,ClearCr,1Fam,1Story,TA,TA,Y,191200,0
301,L-000301,2006-06-10,0,0.7355740850059032,5,5,1336,1165,15750,53,53,2.0,1,2,1.0,3.48,1.42,0.0,6.32,6,Crawfor,2fmCon,1Story,TA,TA,Y,159900,0
631,L-000631,2006-06-11,1,0.33976602635874764,5,6,1750,636,9000,126,15,1.0,1,0,4.11,5.7,3.32,26600.0,6.32,6,OldTown,1Fam,2Story,TA,Ex,Y,122500,0
1245,L-001245,2006-06-11,1,0.7742018614147942,8,7,1517,792,11435,77,56,1.0,2,2,0.96,3.06,1.13,29400.0,6.32,6,Crawfor,1Fam,2Story,TA,Gd,Y,231100,0
1184,L-001184,2006-06-12,1,0.3602771411192982,5,6,1130,1120,10800,86,56,2.0,2,1,3.5,6.86,3.03,30200.0,6.32,6,OldTown,1Fam,1Story,TA,TA,Y,119800,0
126,L-000126,2006-06-12,1,0.3552144233313005,6,8,754,520,6780,71,24,2.0,0,0,4.71,5.65,1.86,23000.0,6.32,6,IDOTRR,2fmCon,1.5Fin,TA,TA,N,84400,0
186,L-000186,2006-06-13,1,0.39010694478771635,10,9,3608,1107,22950,114,13,2.5,3,2,3.2,6.33,2.58,109400.0,6.32,6,OldTown,1Fam,2.5Fin,Gd,Ex,Y,475100,0
900,L-000900,2006-06-13,1,0.49795651494298454,5,7,1236,912,6993,45,12,1.0,1,1,2.92,4.3,1.02,45200.0,6.32,6,Sawyer,1Fam,1Story,TA,TA,Y,134700,0
825,L-000825,2006-06-14,0,0.8283139948070957,8,5,1489,1489,11216,0,0,2.0,2,1,0.84,2.34,1.22,0.0,6.32,6,Somerst,1Fam,1Story,Gd,Gd,Y,232300,0
360,L-000360,2006-06-15,0,1.0720781105912087,8,5,1924,1086,12011,8,8,3.5,2,1,0.38,1.01,2.04,0.0,6.32,6,NoRidge,1Fam,2Story,Gd,Gd,Y,282700,0
