Id,listing_id,listing_date,dist_school_km,dist_hospital_km,dist_transit_km,renovated,renovation_cost_usd,days_on_market,local_interest_rate_pct,market_price_index,sale_price,sale_price_kaggle
1010,L-001010,2006-06-18,1.83,7.72,1.91,Yes,32800.0,16,6.32,101.03,98400,102000
987,L-000987,2006-06-18,4.12,8.19,2.12,Yes,52600.0,26,6.32,101.03,117900,117000
355,L-000355,2006-06-19,3.0,4.27,1.87,Yes,74700.0,31,6.32,101.03,138100,140000
451,L-000451,2006-06-21,2.67,7.36,2.36,Yes,23300.0,45,6.32,101.03,105800,110000
832,L-000832,2006-06-21,0.52,2.56,1.55,No,,14,6.32,101.03,155200,151000
1373,L-001373,2006-06-21,2.17,5.23,1.95,no,,60,6.32,101.03,267600,274300
173,L-000173,2006-06-22,0.14,1.81,1.95,No,,16,6.32,101.03,244700,239000
1379,L-001379,2006-06-22,2.1,7.06,1.54,No,,14,6.32,101.03,84700,83000
909,L-000909,2006-06-22,1.91,2.56,1.2,No,,18,6.32,101.03,133100,131000
673,L-000673,2006-06-23,0.2,2.46,1.61,No,,41,6.32,101.03,164800,165000
1057,L-001057,2006-06-25,,0.33,1.5,No,,12,6.32,101.03,185700,185850
936,L-000936,2006-06-25,2.68,5.4,0.59,Yes,27900.0,22,6.32,101.03,79600,79900
887,L-000887,2006-06-25,2.45,4.47,0.64,Yes,61300.0,21,6.32,101.03,143200,145000
233,L-000233,2006-06-25,2.89,6.08,1.4,No,,25,6.32,101.03,95500,94500
1339,L-001339,2006-06-26,1.83,3.79,1.79,No,,46,6.32,101.03,198500,200000
1330,L-001330,2006-06-26,1.36,5.88,2.21,No,,27,6.32,101.03,183700,176500
617,L-000617,2006-06-26,1.43,4.51,2.19,Yes,41000.0,27,6.32,101.03,182000,183200
288,L-000288,2006-06-26,1.72,5.64,0.61,No,,15,6.32,101.03,90900,88000
805,L-000805,2006-06-26,1.88,5.01,0.73,No,,19,6.32,101.03,120700,118000
778,L-000778,2006-06-27,2.0,7.51,1.47,No,,74,6.32,101.03,147900,142500
1298,L-001298,2006-06-27,3.39,7.57,1.9,Yes,41600.0,82,6.32,101.03,141300,140000
697,L-000697,2006-06-27,1.74,6.67,0.65,Yes,31700.0,21,6.32,101.03,90700,89000
157,L-000157,2006-06-27,2.08,4.98,0.71,No,,27,6.32,101.03,108900,109500
1282,L-001282,2006-07-01,0.93,2.51,2.05,No,,41,6.4,101.82,180300,180000
670,L-000670,2006-07-01,1.14,4.39,1.38,Yes,48800.0,25,6.4,101.82,137000,137500
737,L-000737,2006-07-01,,3.62,0.65,No,,27,6.4,101.82,97700,93500
777,L-000777,2006-07-01,1.48,3.27,1.96,Yes,58200.0,29,6.4,101.82,218100,221500
753,L-000753,2006-07-02,1.31,4.28,2.19,No,,31,6.4,101.82,220200,217000
263,L-000263,2006-07-03,2.91,6.67,1.52,Yes,32600.0,87,6.4,101.82,153500,151000
1120,L-001120,2006-07-03,1.46,5.52,0.66,No,,25,6.4,101.82,136800,133700
1122,L-001122,2006-07-04,1.67,3.64,2.32,Yes,45300.0,64,6.4,101.82,222200,212900
1236,L-001236,2006-07-04,0.94,2.67,1.19,Yes,47400.0,8,6.4,101.82,141000,138887
782,L-000782,2006-07-05,1.73,6.21,0.7,No,,25,6.4,101.82,175800,175900
129,L-000129,2006-07-05,2.05,3.7,0.5,No,,45,6.4,101.82,155700,155000
135,L-000135,2006-07-05,2.82,6.55,1.29,Yes,49400.0,96,6.4,101.82,179400,180000
1113,L-001113,2006-07-05,1.58,4.17,0.68,No,,27,6.4,101.82,134300,129900
1387,L-001387,2006-07-06,1.45,3.17,1.19,No,,69,6.4,101.82,249500,250000
1064,L-001064,2006-07-06,3.58,9.0,2.52,Yes,30100.0,28,6.4,101.82,113200,110500
565,L-000565,2006-07-06,0.38,0.77,1.93,Yes,69200.0,50,6.4,101.82,267500,268000
1047,L-001047,2006-07-07,0.15,1.92,2.88,Yes,67300.0,118,6.4,101.82,562500,556581
696,L-000696,2006-07-07,0.75,2.13,2.09,No,,18,6.4,101.82,178600,176000
70,L-000070,2006-07-08,0.55,1.6,0.22,No,,29,6.4,101.82,231300,225000
1403,L-001403,2006-07-09,1.58,3.76,1.39,No,,39,6.4,101.82,201600,193879
214,L-000214,2006-07-09,1.99,3.21,2.63,No,,29,6.4,101.82,157500,156000
120,L-000120,2006-07-09,1.92,3.92,1.85,Yes,29100.0,44,6.4,101.82,168300,163990
1431,L-001431,2006-07-09,1.62,5.39,1.99,No,,29,6.4,101.82,196600,192140
539,L-000539,2006-07-09,2.94,3.47,1.53,No,,35,6.4,101.82,162600,158000
404,L-000404,2006-07-10,0.46,0.96,1.32,No,,19,6.4,101.82,266900,258000
913,L-000913,2006-07-10,1.62,7.51,0.49,Yes,47500.0,17,6.4,101.82,88000,88000
1085,L-001085,2006-07-11,1.36,4.23,2.45,Yes,53200.0,26,6.4,101.82,184600,187500
1170,L-001170,2006-07-11,0.52,0.94,1.61,Yes,154700.0,131,6.4,101.82,631400,625000
1170,L-901170,2006-07-12,0.52,0.94,1.61,Yes,154700.0,131,6.4,101.82,631400,625000
817,L-000817,2006-07-12,2.47,6.08,0.66,No,,31,6.4,101.82,140100,137000
138,L-000138,2006-07-12,1.72,2.53,1.07,Yes,86700.0,43,6.4,101.82,172900,171000
178,L-000178,2006-07-12,1.82,4.62,1.1,No,,40,6.4,101.82,180800,172500
1153,L-001153,2006-07-13,1.15,3.36,1.24,Yes,53600.0,66,6.4,101.82,239600,230000
513,L-000513,2006-07-13,2.13,4.62,0.78,No,,14,6.4,101.82,131500,129900
402,L-000402,2006-07-13,1.75,4.19,1.88,No,,12,6.4,101.82,167100,164990
1175,L-001175,2006-07-13,1.54,3.85,1.53,Yes,54100.0,58,6.4,101.82,248300,239000
324,L-000324,2006-07-13,3.78,7.36,1.94,Yes,33400.0,35,6.4,101.82,128200,126175
1332,L-001332,2006-07-14,1.5,2.75,2.52,No,,16,6.4,101.82,134400,132500
703,L-000703,2006-07-14,0.17,1.6,2.37,No,,72,6.4,101.82,358500,361919
703,L-900703,2006-07-16,0.17,1.6,2.37,No,,72,6.4,101.82,358500,361919
1454,L-001454,2006-07-16,1.59,3.6,1.49,No,,15,6.4,101.82,86100,84500
291,L-000291,2006-07-17,1.62,3.99,1.99,NO,,67,6.4,101.82,233200,233230
448,L-000448,2006-07-19,1.14,5.73,2.55,Yes,54700.0,99,6.4,101.82,202900,199900
702,L-000702,2006-07-19,1.43,3.91,0.93,No,,16,6.4,101.82,142100,140000
1031,L-001031,2006-07-20,2.68,3.49,1.91,Yes,46500.0,46,6.4,101.82,160300,160000
1198,L-001198,2006-07-20,3.22,6.67,2.44,Yes,104900.0,31,6.4,101.82,143600,144000
182,L-000182,2006-07-20,1.27,2.8,1.06,Yes,73300.0,36,6.4,101.82,205100,200100
1368,L-001368,2006-07-20,3.32,7.29,1.5,NO,,71,6.4,101.82,127800,127000
1334,L-001334,2006-07-20,3.54,7.73,2.12,Yes,45700.0,33,6.4,101.82,121800,125500
1104,L-001104,2006-07-21,2.44,5.08,0.72,No,,37,6.4,101.82,159900,159500
359,L-000359,2006-07-22,0.62,1.1,0.15,No,,20,6.4,101.82,127700,130000
941,L-000941,2006-07-22,2.11,2.78,1.06,No,,17,6.4,101.82,147800,150900
365,L-000365,2006-07-22,1.38,3.55,1.71,No,,29,6.4,101.82,191500,190000
448,L-900448,2006-07-22,1.14,5.73,2.55,Yes,54700.0,99,6.4,101.82,202900,199900
1201,L-001201,2006-07-22,2.44,6.3,0.67,No,,31,6.4,101.82,116800,116050
952,L-000952,2006-07-23,2.48,5.87,0.44,No,,13,6.4,101.82,120100,119900
903,L-000903,2006-07-23,1.26,8.25,2.65,No,,29,6.4,101.82,175000,180000
1188,L-001188,2006-07-24,0.48,1.14,1.95,Y,52100.0,17,6.4,101.82,269100,262000
12,L-000012,2006-07-24,0.18,0.52,1.61,Yes,67800.0,57,6.4,101.82,346900,345000
377,L-000377,2006-07-24,1.83,2.9,2.5,No,,33,6.4,101.82,153100,148000
1205,L-001205,2006-07-25,0.93,4.55,0.94,No,,28,6.4,101.82,158400,153500
91,L-000091,2006-07-25,2.63,4.86,0.62,No,,17,6.4,101.82,116000,109900
455,L-000455,2006-07-25,2.01,2.92,1.16,No,,19,6.4,101.82,186500,188000
815,L-000815,2006-07-25,3.0,6.46,1.66,Yes,38000.0,36,6.4,101.82,115500,116000
830,L-000830,2006-07-25,0.65,2.27,1.63,No,,15,6.4,101.82,147700,147400
304,L-000304,2006-07-26,1.67,3.22,2.21,NO,,15,6.4,101.82,155500,149900
1219,L-001219,2006-07-26,2.58,8.21,0.37,Yes,28000.0,8,6.4,101.82,82800,80500
1022,L-001022,2006-07-26,2.0,3.16,2.2,No,,34,6.4,101.82,203600,194000
855,L-000855,2006-07-26,2.5,5.13,1.1,Yes,76000.0,49,6.4,101.82,169400,170000
130,L-000130,2006-07-27,2.0,6.34,0.49,Yes,23900.0,15,6.4,101.82,153100,150000
315,L-000315,2006-08-01,3.47,5.95,2.36,Yes,53700.0,86,6.4,102.32,180600,178000
996,L-000996,2006-08-04,2.2,5.61,0.61,Yes,24400.0,40,6.4,102.32,119500,121600
608,L-000608,2006-08-04,2.45,6.18,1.16,Yes,85000.0,109,6.4,102.32,222200,225000
1115,L-001115,2006-08-07,4.17,7.92,2.25,Yes,15700.0,36,6.4,102.32,122300,117000
556,L-000556,2006-08-08,2.12,7.47,0.6,Yes,27100.0,35,6.4,102.32,114200,113000
994,L-000994,2006-08-08,1.7,2.99,1.55,Yes,39600.0,31,6.4,102.32,175200,173900
596,L-000596,2006-08-09,0.18,2.11,1.97,Yes,108300.0,33,6.4,102.32,325500,319000
1424,L-001424,2006-08-09,3.26,3.62,1.44,No,,97,6.4,102.32,285300,274970
977,L-000977,2006-08-10,2.48,6.58,0.47,Yes,30000.0,36,6.4,102.32,83000,85500
492,L-000492,2006-08-13,1.78,4.96,0.46,Yes,89700.0,18,6.4,102.32,136300,133000
97,L-000097,2006-08-13,1.5,3.97,2.27,No,,27,6.4,102.32,220300,214000
382,L-000382,2006-08-13,0.63,2.03,1.7,No,,16,6.4,102.32,195300,187750
271,L-000271,2006-08-14,0.79,2.14,1.07,No,,53,6.4,102.32,275300,266000
1146,L-001146,2006-08-14,2.31,5.67,0.46,Yes,38100.0,40,6.4,102.32,148700,149000
939,L-000939,2006-08-14,1.57,3.92,2.51,No,,27,6.4,102.32,242900,239799
1319,L-001319,2006-08-16,2.07,4.56,2.73,Yes,53700.0,63,6.4,102.32,269700,275000
904,L-000904,2006-08-17,1.09,7.88,1.93,No,,54,6.4,102.32,238000,240000
58,L-000058,2006-08-19,2.13,4.55,2.12,No,,63,6.4,102.32,207500,196500
860,L-000860,2006-08-21,1.31,3.83,1.02,Yes,50000.0,45,6.4,102.32,248200,250000
1073,L-001073,2006-08-25,2.56,7.14,1.69,Yes,38800.0,11,6.4,102.32,92200,91500
1450,L-001450,2006-08-25,4.26,6.21,1.93,No,,62,6.4,102.32,90700,92000
482,L-000482,2006-08-27,0.2,0.51,2.07,Yes,69800.0,59,6.4,102.32,387400,374000
990,L-000990,2006-08-27,0.71,1.81,1.0,No,,31,6.4,102.32,200400,197000
218,L-000218,2006-09-03,4.36,4.67,1.95,Yes,56800.0,26,6.44,102.79,112600,107000
1391,L-001391,2006-09-04,1.73,4.61,2.28,No,,42,6.44,102.79,233400,235000
1356,L-001356,2006-09-04,1.38,3.08,1.22,Yes,78600.0,37,6.44,102.79,176400,170000
545,L-000545,2006-09-06,1.7,6.59,2.6,No,,23,6.44,102.79,186100,179665
321,L-000321,2006-09-08,0.23,0.64,1.45,No,,47,6.44,102.79,343500,342643
52,L-000052,2006-09-09,2.54,7.15,0.6,YES,35700.0,26,6.44,102.79,120900,114500
1244,L-001244,2006-09-12,0.23,0.49,2.06,No,,69,6.44,102.79,469500,465000
1238,L-001238,2006-09-12,1.44,3.15,2.85,Yes,77300.0,33,6.44,102.79,200400,195000
1307,L-001307,2006-09-15,0.34,0.34,1.47,Yes,56800.0,24,6.44,102.79,200000,202500
558,L-000558,2006-09-19,4.64,5.58,1.67,Yes,29500.0,48,6.44,102.79,108700,108000
1108,L-001108,2006-09-20,1.3,4.77,2.3,No,,34,6.44,102.79,273700,274725
1360,L-001360,2006-09-23,0.19,0.39,1.21,Yes,96600.0,23,6.44,102.79,318300,315000
507,L-000507,2006-09-23,2.36,3.73,0.45,Yes,134800.0,44,6.44,102.79,226600,215000
36,L-000036,2006-09-25,0.26,0.55,1.31,Yes,81900.0,31,6.44,102.79,312500,309000
698,L-000698,2006-09-25,2.81,4.63,1.26,No,,39,6.44,102.79,127600,123500
597,L-000597,2006-10-02,4.55,6.53,2.77,Yes,57500.0,30,6.43,103.16,116300,114504
955,L-000955,2006-10-03,2.8,6.6,1.9,No,,39,6.43,103.16,136000,127500
560,L-000560,2006-10-04,1.32,4.09,0.88,Yes,59900.0,53,6.43,103.16,240000,234000
923,L-000923,2006-10-05,1.44,5.37,2.53,Yes,41300.0,16,6.43,103.16,168500,169990
346,L-000346,2006-10-05,2.76,4.15,0.64,Yes,63800.0,67,6.43,103.16,150100,140200
1224,L-001224,2006-10-05,2.3,5.91,0.51,No,,31,6.43,103.16,142800,137900
121,L-000121,2006-10-07,0.43,1.24,0.25,No,,19,6.43,103.16,180200,180000
437,L-000437,2006-10-08,3.91,9.31,2.2,Yes,44400.0,96,6.43,103.16,118600,116000
59,L-000059,2006-10-09,0.15,1.72,2.28,No,,57,6.43,103.16,449600,438780
1094,L-001094,2006-10-10,2.53,5.99,0.7,Yes,39500.0,49,6.43,103.16,152300,146000
736,L-000736,2006-10-11,2.78,11.89,1.76,Yes,64800.0,62,6.43,103.16,170500,163000
535,L-000535,2006-10-13,1.81,6.32,1.63,No,,24,6.43,103.16,177600,178000
640,L-000640,2006-10-13,1.17,3.45,1.07,No,,68,6.43,103.16,268300,264561
18,L-000018,2006-10-19,3.13,3.34,1.76,No,,15,6.43,103.16,92800,90000
1200,L-001200,2006-10-19,2.12,5.02,1.11,Yes,27600.0,29,6.43,103.16,151700,148000
769,L-000769,2006-10-20,2.36,4.58,1.82,Yes,44200.0,39,6.43,103.16,220800,216837
1290,L-001290,2006-10-22,0.17,0.57,1.68,No,,28,6.43,103.16,294500,281000
572,L-000572,2006-10-23,1.99,4.61,0.77,No,,37,6.43,103.16,120600,120000
1383,L-001383,2006-10-24,2.82,9.19,2.28,Yes,60000.0,37,6.43,103.16,158600,157000
111,L-000111,2006-10-24,2.7,5.09,2.14,Yes,45400.0,30,6.43,103.16,140800,136900
917,L-000917,2006-10-24,4.61,7.2,2.35,Yes,10500.0,12,6.43,103.16,35800,35311
523,L-000523,2006-10-26,2.39,4.72,0.71,Yes,46800.0,29,6.43,103.16,160500,159000
